n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,0.5,prob_greedy,42,0,3,0,1,3,2.6536999794188887,0.8845666598062962,1,0
5,exp,0.05,0.5,prob_greedy,42,1,3,0,1,5,4.160899989074096,0.8321799978148192,1,0
5,exp,0.05,0.5,prob_greedy,42,2,10,1,1,10,8.31909998669289,0.831909998669289,0,0
5,exp,0.05,0.5,prob_greedy,42,3,10,0,1,17,17.079199984436855,1.0046588226139326,1,0
5,exp,0.05,0.5,prob_greedy,42,4,16,0,1,19,16.190599999390543,0.8521368420731864,1,0
5,exp,0.05,0.5,prob_greedy,42,5,25,1,1,26,21.99750000727363,0.8460576925874472,0,0
5,exp,0.05,0.5,prob_greedy,42,6,3,0,1,3,2.5397999852430075,0.8465999950810025,1,0
5,exp,0.05,0.5,prob_greedy,42,7,12,0,1,14,11.78449997678399,0.8417499983417136,1,0
5,exp,0.05,0.5,prob_greedy,42,8,15,0,1,15,12.57289998466149,0.838193332310766,1,0
5,exp,0.05,0.5,prob_greedy,42,9,21,0,1,26,21.81649999693036,0.8390961537280908,1,0
5,exp,0.05,0.5,prob_greedy,42,10,8,0,1,11,9.253500000340864,0.8412272727582604,1,0
5,exp,0.05,0.5,prob_greedy,42,11,17,0,1,17,14.244599995436149,0.8379176467903616,1,0
5,exp,0.05,0.5,prob_greedy,42,12,13,0,1,16,13.484700000844896,0.842793750052806,1,0
5,exp,0.05,0.5,prob_greedy,42,13,3,0,1,3,2.519100002245977,0.8397000007486591,1,0
5,exp,0.05,0.5,prob_greedy,42,14,11,0,1,13,10.893500002566723,0.8379615386589788,1,0
5,exp,0.05,0.5,prob_greedy,42,15,24,1,1,22,18.570899992482737,0.8441318178401244,0,0
5,exp,0.05,0.5,prob_greedy,42,16,24,0,1,26,21.82819999870844,0.8395461537964786,1,0
5,exp,0.05,0.5,prob_greedy,42,17,2,0,1,2,1.7047000001184642,0.8523500000592321,1,0
5,exp,0.05,0.5,prob_greedy,42,18,25,1,1,34,28.62470000400208,0.8419029412941788,0,0
5,exp,0.05,0.5,prob_greedy,42,19,16,0,1,17,14.3687000090722,0.8452176475924823,1,0
5,exp,0.05,0.5,prob_greedy,42,20,14,0,1,22,18.49779998883605,0.8408090904016386,1,0
5,exp,0.05,0.5,prob_greedy,42,21,24,0,1,20,16.799000004539266,0.8399500002269633,1,0
5,exp,0.05,0.5,prob_greedy,42,22,3,1,1,7,5.891900014830753,0.841700002118679,0,0
5,exp,0.05,0.5,prob_greedy,42,23,14,0,1,16,13.48839999991469,0.8430249999946682,1,0
5,exp,0.05,0.5,prob_greedy,42,24,19,0,1,25,21.05139999184757,0.842055999673903,1,0
5,exp,0.05,0.5,prob_greedy,42,25,22,0,1,22,18.465999979525805,0.8393636354329911,1,0
5,exp,0.05,0.5,prob_greedy,42,26,25,1,1,26,21.820599999045957,0.839253846117152,0,0
5,exp,0.05,0.5,prob_greedy,42,27,18,1,1,19,15.927800006465986,0.8383052634982098,0,0
5,exp,0.05,0.5,prob_greedy,42,28,7,0,1,6,5.037800001446158,0.8396333335743597,1,0
5,exp,0.05,0.5,prob_greedy,42,29,4,0,1,4,3.359800000907853,0.8399500002269633,1,0
