n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,1.0,prob_greedy,42,0,3,0,1,3,6.44050000119023,2.146833333730077,1,0
5,exp,0.05,1.0,prob_greedy,42,1,3,0,1,4,8.320099994307384,2.080024998576846,1,0
5,exp,0.05,1.0,prob_greedy,42,2,10,1,1,9,19.23000000533648,2.136666667259609,0,0
5,exp,0.05,1.0,prob_greedy,42,3,10,0,1,11,23.61989999189973,2.147263635627248,1,0
5,exp,0.05,1.0,prob_greedy,42,4,16,0,1,23,49.23489998327568,2.1406478253598125,1,0
5,exp,0.05,1.0,prob_greedy,42,5,25,1,1,22,46.86490001040511,2.1302227277456867,0,0
5,exp,0.05,1.0,prob_greedy,42,6,3,0,1,4,8.508099999744445,2.1270249999361117,1,0
5,exp,0.05,1.0,prob_greedy,42,7,12,0,1,14,29.84360000118613,2.131685714370438,1,0
5,exp,0.05,1.0,prob_greedy,42,8,15,0,1,20,42.67360002268106,2.133680001134053,1,0
5,exp,0.05,1.0,prob_greedy,42,9,21,0,1,19,40.609899995615706,2.1373631576639847,1,0
5,exp,0.05,1.0,prob_greedy,42,10,8,0,1,12,25.575899984687567,2.131324998723964,1,0
5,exp,0.05,1.0,prob_greedy,42,11,17,0,1,18,38.24360002181493,2.1246444456563847,1,0
5,exp,0.05,1.0,prob_greedy,42,12,13,0,1,13,27.613800019025803,2.1241384630019846,1,0
5,exp,0.05,1.0,prob_greedy,42,13,3,0,1,3,6.377200013957918,2.1257333379859724,1,0
5,exp,0.05,1.0,prob_greedy,42,14,11,0,1,14,29.700499988393855,2.1214642848852754,1,0
5,exp,0.05,1.0,prob_greedy,42,15,24,1,1,26,55.08729998837225,2.1187423072450864,0,0
5,exp,0.05,1.0,prob_greedy,42,16,24,0,1,21,44.54740000073798,2.121304761939904,1,0
5,exp,0.05,1.0,prob_greedy,42,17,2,0,1,2,4.243000003043562,2.121500001521781,1,0
5,exp,0.05,1.0,prob_greedy,42,18,25,1,1,31,65.86909998441115,2.1248096769164886,0,0
5,exp,0.05,1.0,prob_greedy,42,19,16,0,1,19,43.87180000776425,2.3090421056718027,1,0
5,exp,0.05,1.0,prob_greedy,42,20,14,0,1,14,29.8631000041496,2.133078571724972,1,0
5,exp,0.05,1.0,prob_greedy,42,21,24,0,1,27,64.64309999137186,2.394188888569328,1,0
5,exp,0.05,1.0,prob_greedy,42,22,3,1,1,4,8.546099998056889,2.136524999514222,0,0
5,exp,0.05,1.0,prob_greedy,42,23,14,0,1,12,31.880800001090392,2.6567333334242,1,0
5,exp,0.05,1.0,prob_greedy,42,24,19,0,1,19,43.00030000740662,2.2631736846003485,1,0
5,exp,0.05,1.0,prob_greedy,42,25,22,0,1,23,48.809100000653416,2.122134782637105,1,0
5,exp,0.05,1.0,prob_greedy,42,26,25,1,1,31,68.20050001260825,2.200016129438976,0,0
5,exp,0.05,1.0,prob_greedy,42,27,18,1,1,21,45.15960000571795,2.150457143129426,0,0
5,exp,0.05,1.0,prob_greedy,42,28,7,0,1,7,15.008799993665887,2.144114284809413,1,0
5,exp,0.05,1.0,prob_greedy,42,29,4,0,1,6,12.882799986982718,2.1471333311637864,1,0
5,exp,0.05,1.0,prob_greedy,42,30,9,0,1,10,21.40379999764264,2.140379999764264,1,0
5,exp,0.05,1.0,prob_greedy,42,31,7,1,1,10,21.414699993329123,2.1414699993329123,0,0
5,exp,0.05,1.0,prob_greedy,42,32,10,0,1,12,25.57699999306351,2.131416666088626,1,0
5,exp,0.05,1.0,prob_greedy,42,33,14,0,1,18,38.3459999866318,2.1303333325906557,1,0
5,exp,0.05,1.0,prob_greedy,42,34,8,0,1,8,17.034700023941696,2.129337502992712,1,0
5,exp,0.05,1.0,prob_greedy,42,35,24,0,1,20,42.59920000913553,2.1299600004567765,1,0
5,exp,0.05,1.0,prob_greedy,42,36,16,0,1,16,37.41449999506585,2.338406249691616,1,0
5,exp,0.05,1.0,prob_greedy,42,37,20,1,1,20,42.562699993141,2.1281349996570498,0,0
5,exp,0.05,1.0,prob_greedy,42,38,7,0,1,9,19.184400007361543,2.131600000817949,1,0
5,exp,0.05,1.0,prob_greedy,42,39,6,0,1,6,12.782700010575354,2.130450001762559,1,0
5,exp,0.05,1.0,prob_greedy,42,40,23,0,1,22,46.83469998417422,2.1288499992806464,1,0
5,exp,0.05,1.0,prob_greedy,42,41,2,0,1,4,8.578499982832,2.144624995708,1,0
5,exp,0.05,1.0,prob_greedy,42,42,25,1,1,25,53.56609998852946,2.1426439995411783,0,0
5,exp,0.05,1.0,prob_greedy,42,43,20,0,1,23,49.30899999453686,2.143869564979864,1,0
5,exp,0.05,1.0,prob_greedy,42,44,8,0,1,12,25.5874999857042,2.13229166547535,1,0
5,exp,0.05,1.0,prob_greedy,42,45,20,0,1,24,51.08160001691431,2.128400000704763,1,0
5,exp,0.05,1.0,prob_greedy,42,46,4,0,1,5,10.7475999975577,2.14951999951154,1,0
5,exp,0.05,1.0,prob_greedy,42,47,25,1,1,30,66.03370001539588,2.201123333846529,0,0
5,exp,0.05,1.0,prob_greedy,42,48,1,0,1,1,2.153299981728196,2.153299981728196,1,0
5,exp,0.05,1.0,prob_greedy,42,49,14,0,1,18,38.45080002793111,2.136155557107284,1,0
5,exp,0.05,1.0,prob_greedy,42,50,22,0,1,26,55.8076000015717,2.146446153906604,1,0
5,exp,0.05,1.0,prob_greedy,42,51,20,0,1,25,56.49029999040067,2.259611999616027,1,0
5,exp,0.05,1.0,prob_greedy,42,52,12,0,1,17,36.34459999739192,2.1379176469054078,1,0
5,exp,0.05,1.0,prob_greedy,42,53,21,0,1,22,46.68270002002828,2.1219409100012854,1,0
5,exp,0.05,1.0,prob_greedy,42,54,18,0,1,15,32.84139998140745,2.1894266654271632,1,0
5,exp,0.05,1.0,prob_greedy,42,55,4,0,1,6,14.243700017686932,2.373950002947822,1,0
5,exp,0.05,1.0,prob_greedy,42,56,3,0,1,4,8.585599978687242,2.1463999946718104,1,0
5,exp,0.05,1.0,prob_greedy,42,57,11,0,1,14,29.999099991982803,2.1427928565702,1,0
5,exp,0.05,1.0,prob_greedy,42,58,13,0,1,20,42.83210000721738,2.141605000360869,1,0
5,exp,0.05,1.0,prob_greedy,42,59,23,1,1,21,44.979099999181926,2.141861904722949,0,0
5,exp,0.05,1.0,prob_greedy,42,60,16,0,1,16,34.23580000526272,2.13973750032892,1,0
5,exp,0.05,1.0,prob_greedy,42,61,8,1,1,8,17.13180000660941,2.1414750008261763,0,0
5,exp,0.05,1.0,prob_greedy,42,62,18,0,1,30,64.32209999184124,2.144069999728041,1,0
5,exp,0.05,1.0,prob_greedy,42,63,5,0,1,6,12.77739999932237,2.1295666665537283,1,0
5,exp,0.05,1.0,prob_greedy,42,64,13,0,1,14,29.94699997361749,2.139071426686964,1,0
5,exp,0.05,1.0,prob_greedy,42,65,21,0,1,19,40.619000006699935,2.137842105615786,1,0
5,exp,0.05,1.0,prob_greedy,42,66,15,0,1,18,38.50259998580441,2.139033332544689,1,0
5,exp,0.05,1.0,prob_greedy,42,67,24,0,1,31,66.30929998937063,2.139009677076472,1,0
5,exp,0.05,1.0,prob_greedy,42,68,25,1,1,27,57.75290000019595,2.138996296303554,0,0
5,exp,0.05,1.0,prob_greedy,42,69,11,1,1,15,32.09599998081103,2.139733332054069,0,0
5,exp,0.05,1.0,prob_greedy,42,70,1,0,1,2,4.3101000192109495,2.1550500096054748,1,0
5,exp,0.05,1.0,prob_greedy,42,71,12,1,1,14,29.869499994674698,2.1335357139053355,0,0
5,exp,0.05,1.0,prob_greedy,42,72,22,0,1,22,47.09599999478087,2.1407272724900395,1,0
5,exp,0.05,1.0,prob_greedy,42,73,10,0,1,14,29.96380001422949,2.1402714295878207,1,0
5,exp,0.05,1.0,prob_greedy,42,74,15,1,1,18,38.511999999172986,2.1395555555096104,0,0
5,exp,0.05,1.0,prob_greedy,42,75,4,0,1,9,19.32509997277521,2.147233330308356,1,0
5,exp,0.05,1.0,prob_greedy,42,76,3,0,1,4,8.632299985038117,2.158074996259529,1,0
