n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,0.5,prob_greedy,42,0,3,0,1,3,6.458199990447611,2.1527333301492035,1,0
5,exp,0.05,0.5,prob_greedy,42,1,3,0,1,4,8.293399994727224,2.073349998681806,1,0
5,exp,0.05,0.5,prob_greedy,42,2,10,1,1,11,23.146599996834997,2.104236363348636,0,0
5,exp,0.05,0.5,prob_greedy,42,3,10,0,1,10,21.11429997603409,2.111429997603409,1,0
5,exp,0.05,0.5,prob_greedy,42,4,16,0,1,18,38.204000011319295,2.122444445073294,1,0
5,exp,0.05,0.5,prob_greedy,42,5,25,1,1,24,50.87920001824386,2.119966667426828,0,0
5,exp,0.05,0.5,prob_greedy,42,6,3,0,1,4,8.499399991706014,2.1248499979265034,1,0
5,exp,0.05,0.5,prob_greedy,42,7,12,0,1,14,29.707100009545684,2.121935714967549,1,0
5,exp,0.05,0.5,prob_greedy,42,8,15,0,1,25,52.96699999598786,2.1186799998395145,1,0
5,exp,0.05,0.5,prob_greedy,42,9,21,0,1,25,56.0457999818027,2.241831999272108,1,0
5,exp,0.05,0.5,prob_greedy,42,10,8,0,1,9,19.109999993816015,2.123333332646224,1,0
5,exp,0.05,0.5,prob_greedy,42,11,17,0,1,21,44.57900000852533,2.122809524215492,1,0
5,exp,0.05,0.5,prob_greedy,42,12,13,0,1,12,25.493599998299032,2.1244666665249192,1,0
5,exp,0.05,0.5,prob_greedy,42,13,3,0,1,3,6.38420000905171,2.1280666696839035,1,0
5,exp,0.05,0.5,prob_greedy,42,14,11,0,1,11,23.368399997707456,2.124399999791587,1,0
5,exp,0.05,0.5,prob_greedy,42,15,24,1,1,23,48.98469999898225,2.129769565173141,0,0
5,exp,0.05,0.5,prob_greedy,42,16,24,0,1,24,50.837599992519245,2.118233333021635,1,0
5,exp,0.05,0.5,prob_greedy,42,17,2,0,1,2,4.258600005414337,2.1293000027071685,1,0
5,exp,0.05,0.5,prob_greedy,42,18,25,1,1,24,50.98609998822212,2.1244208328425884,0,0
5,exp,0.05,0.5,prob_greedy,42,19,16,0,1,15,31.828900013351813,2.1219266675567874,1,0
5,exp,0.05,0.5,prob_greedy,42,20,14,0,1,14,29.701099992962558,2.121507142354468,1,0
5,exp,0.05,0.5,prob_greedy,42,21,24,0,1,26,55.307700007688254,2.1272192310649327,1,0
5,exp,0.05,0.5,prob_greedy,42,22,3,1,1,3,6.386900000507012,2.128966666835671,0,0
5,exp,0.05,0.5,prob_greedy,42,23,14,0,1,13,27.599699998972937,2.1230538460748414,1,0
5,exp,0.05,0.5,prob_greedy,42,24,19,0,1,27,58.41510000755079,2.1635222225018813,1,0
5,exp,0.05,0.5,prob_greedy,42,25,22,0,1,23,49.28450001170859,2.142804348335156,1,0
5,exp,0.05,0.5,prob_greedy,42,26,25,1,1,26,57.245600008172914,2.201753846468189,0,0
5,exp,0.05,0.5,prob_greedy,42,27,18,1,1,17,38.21999998763204,2.24823529339012,0,0
5,exp,0.05,0.5,prob_greedy,42,28,7,0,1,8,16.99699999880977,2.124624999851221,1,0
5,exp,0.05,0.5,prob_greedy,42,29,4,0,1,4,8.511000021826476,2.127750005456619,1,0
5,exp,0.05,0.5,prob_greedy,42,30,9,0,1,10,21.3586000027135,2.13586000027135,1,0
5,exp,0.05,0.5,prob_greedy,42,31,7,1,1,8,16.948799981037155,2.1185999976296443,0,0
5,exp,0.05,0.5,prob_greedy,42,32,10,0,1,10,21.91439998568967,2.191439998568967,1,0
5,exp,0.05,0.5,prob_greedy,42,33,14,0,1,15,31.821399985346943,2.121426665689796,1,0
5,exp,0.05,0.5,prob_greedy,42,34,8,0,1,8,16.971199976978824,2.121399997122353,1,0
5,exp,0.05,0.5,prob_greedy,42,35,24,0,1,26,56.01390000083484,2.1543807692628785,1,0
5,exp,0.05,0.5,prob_greedy,42,36,16,0,1,16,33.93830001004972,2.1211437506281072,1,0
5,exp,0.05,0.5,prob_greedy,42,37,20,1,1,21,44.75770000135526,2.131319047683584,0,0
5,exp,0.05,0.5,prob_greedy,42,38,7,0,1,9,19.66530000208877,2.185033333565419,1,0
5,exp,0.05,0.5,prob_greedy,42,39,6,0,1,10,30.53079999517649,3.0530799995176494,1,0
5,exp,0.05,0.5,prob_greedy,42,40,23,0,1,25,53.16880001919344,2.1267520007677376,1,0
5,exp,0.05,0.5,prob_greedy,42,41,2,0,1,2,4.251000005751848,2.125500002875924,1,0
5,exp,0.05,0.5,prob_greedy,42,42,25,1,1,26,55.07150001358241,2.118134615907016,0,0
5,exp,0.05,0.5,prob_greedy,42,43,20,0,1,25,53.0062000034377,2.120248000137508,1,0
5,exp,0.05,0.5,prob_greedy,42,44,8,0,1,9,19.09370001521893,2.1215222239132143,1,0
5,exp,0.05,0.5,prob_greedy,42,45,20,0,1,20,42.52679998171516,2.126339999085758,1,0
5,exp,0.05,0.5,prob_greedy,42,46,4,0,1,5,10.628699994413182,2.1257399988826364,1,0
5,exp,0.05,0.5,prob_greedy,42,47,25,1,1,25,53.12520000734367,2.1250080002937466,0,0
5,exp,0.05,0.5,prob_greedy,42,48,1,0,1,1,2.126199979102239,2.126199979102239,1,0
5,exp,0.05,0.5,prob_greedy,42,49,14,0,1,16,46.19029999594204,2.8868937497463776,1,0
5,exp,0.05,0.5,prob_greedy,42,50,22,0,1,22,47.18670001602732,2.1448500007285145,1,0
5,exp,0.05,0.5,prob_greedy,42,51,20,0,1,20,42.80609998386353,2.1403049991931766,1,0
5,exp,0.05,0.5,prob_greedy,42,52,12,0,1,12,25.687599991215396,2.1406333326012827,1,0
5,exp,0.05,0.5,prob_greedy,42,53,21,0,1,23,49.240199994528666,2.140878260631681,1,0
5,exp,0.05,0.5,prob_greedy,42,54,18,0,1,18,38.62100001424551,2.1456111119025283,1,0
5,exp,0.05,0.5,prob_greedy,42,55,4,0,1,4,8.56359998579137,2.1408999964478426,1,0
5,exp,0.05,0.5,prob_greedy,42,56,3,0,1,3,6.416999996872619,2.1389999989575395,1,0
5,exp,0.05,0.5,prob_greedy,42,57,11,0,1,11,23.521399998571724,2.138309090779248,1,0
5,exp,0.05,0.5,prob_greedy,42,58,13,0,1,17,49.430000013671815,2.9076470596277537,1,0
5,exp,0.05,0.5,prob_greedy,42,59,23,1,1,21,44.61079998873174,2.1243238089872256,0,0
5,exp,0.05,0.5,prob_greedy,42,60,16,0,1,18,38.214500003959984,2.123027777997777,1,0
5,exp,0.05,0.5,prob_greedy,42,61,8,1,1,7,14.831100008450449,2.1187285726357783,0,0
5,exp,0.05,0.5,prob_greedy,42,62,18,0,1,19,40.20119999768213,2.115852631456954,1,0
5,exp,0.05,0.5,prob_greedy,42,63,5,0,1,5,10.611799982143566,2.122359996428713,1,0
5,exp,0.05,0.5,prob_greedy,42,64,13,0,1,17,35.99219999159686,2.117188234799816,1,0
5,exp,0.05,0.5,prob_greedy,42,65,21,0,1,22,46.58460000064224,2.117481818211011,1,0
5,exp,0.05,0.5,prob_greedy,42,66,15,0,1,15,31.79989999625832,2.119993333083888,1,0
5,exp,0.05,0.5,prob_greedy,42,67,24,0,1,24,50.871399987954646,2.119641666164777,1,0
5,exp,0.05,0.5,prob_greedy,42,68,25,1,1,26,60.56250000256114,2.329326923175429,0,0
5,exp,0.05,0.5,prob_greedy,42,69,11,1,1,14,29.954800003906712,2.139628571707622,0,0
5,exp,0.05,0.5,prob_greedy,42,70,1,0,1,1,2.163299999665469,2.163299999665469,1,0
5,exp,0.05,0.5,prob_greedy,42,71,12,1,1,17,36.33959998842329,2.137623528730781,0,0
5,exp,0.05,0.5,prob_greedy,42,72,22,0,1,22,47.48869998729788,2.158577272149904,1,0
5,exp,0.05,0.5,prob_greedy,42,73,10,0,1,12,28.370800020638853,2.3642333350532376,1,0
5,exp,0.05,0.5,prob_greedy,42,74,15,1,1,18,38.36480001336895,2.131377778520497,0,0
5,exp,0.05,0.5,prob_greedy,42,75,4,0,1,6,12.879099987912925,2.146516664652154,1,0
5,exp,0.05,0.5,prob_greedy,42,76,3,0,1,3,6.416300020646304,2.138766673548768,1,0
5,exp,0.05,0.5,prob_greedy,42,77,15,1,1,17,36.15970001555979,2.12704117738587,0,0
5,exp,0.05,0.5,prob_greedy,42,78,8,0,1,10,21.343700005672872,2.134370000567287,1,0
5,exp,0.05,0.5,prob_greedy,42,79,16,0,1,18,38.46329997759312,2.136849998755173,1,0
5,exp,0.05,0.5,prob_greedy,42,80,13,0,1,13,27.650300005916502,2.1269461543012698,1,0
5,exp,0.05,0.5,prob_greedy,42,81,24,0,1,21,56.74450000515208,2.7021190478643846,1,0
5,exp,0.05,0.5,prob_greedy,42,82,4,0,1,4,8.664799999678507,2.166199999919627,1,0
5,exp,0.05,0.5,prob_greedy,42,83,1,0,1,1,2.1414999791886657,2.1414999791886657,1,0
5,exp,0.05,0.5,prob_greedy,42,84,15,0,1,18,39.65069999685511,2.2028166664919504,1,0
5,exp,0.05,0.5,prob_greedy,42,85,14,1,1,15,34.46190000977367,2.297460000651578,0,0
5,exp,0.05,0.5,prob_greedy,42,86,4,0,1,4,8.607199997641146,2.1517999994102865,1,0
5,exp,0.05,0.5,prob_greedy,42,87,13,0,1,14,30.09869999368675,2.1499071424061964,1,0
5,exp,0.05,0.5,prob_greedy,42,88,20,0,1,24,51.30399999325164,2.137666666385485,1,0
5,exp,0.05,0.5,prob_greedy,42,89,15,0,1,13,27.835299988510087,2.1411769221930834,1,0
5,exp,0.05,0.5,prob_greedy,42,90,17,0,1,19,40.32960001495667,2.1226105271029825,1,0
5,exp,0.05,0.5,prob_greedy,42,91,5,0,1,7,14.875099994242191,2.125014284891741,1,0
5,exp,0.05,0.5,prob_greedy,42,92,19,0,1,21,45.16129998955876,2.150538094740893,1,0
5,exp,0.05,0.5,prob_greedy,42,93,6,0,1,7,15.372199995908886,2.1960285708441267,1,0
5,exp,0.05,0.5,prob_greedy,42,94,15,0,1,13,29.77230001124553,2.290176923941964,1,0
5,exp,0.05,0.5,prob_greedy,42,95,8,1,1,8,19.73559998441488,2.4669499980518594,0,0
5,exp,0.05,0.5,prob_greedy,42,96,17,0,1,16,35.18110001459718,2.198818750912324,1,0
5,exp,0.05,0.5,prob_greedy,42,97,1,0,1,1,2.152599976398051,2.152599976398051,1,0
5,exp,0.05,0.5,prob_greedy,42,98,7,0,1,12,25.763200013898317,2.1469333344915262,1,0
