n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,0.0001,risk_averse_greedy,42,0,3,0,1,3,0.2348999842070043,0.0782999947356681,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,1,3,0,1,3,0.1215999945998191,0.040533331533273,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,2,10,1,1,12,0.360500009264797,0.030041667438733,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,3,10,0,1,13,0.3547999949660152,0.027292307305078,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,4,16,0,1,19,0.5425999988801777,0.028557894677904,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,5,25,1,1,25,0.6491000240202993,0.0259640009608119,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,6,3,0,1,3,0.1036000030580908,0.0345333343526969,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,7,12,0,1,13,0.3526000073179602,0.0271230774859969,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,8,15,0,1,16,0.440200004959479,0.0275125003099674,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,9,21,0,1,20,0.5468000017572194,0.0273400000878609,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,10,8,0,1,7,0.3948999801650643,0.0564142828807234,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,11,17,0,1,18,0.516800006153062,0.0287111114529478,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,12,13,0,1,14,0.4221000126563012,0.0301500009040215,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,13,3,0,1,3,0.1203000138048082,0.0401000046016027,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,14,11,0,1,13,0.373100017895922,0.0287000013766093,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,15,24,1,1,24,0.6255999905988574,0.0260666662749523,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,16,24,0,1,21,0.7135999912861735,0.0339809519660082,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,17,2,0,1,2,0.0979999895207583,0.0489999947603791,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,18,25,1,1,28,0.7381000032182783,0.0263607144006527,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,19,16,0,1,17,0.5155000253580511,0.0303235309034147,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,20,14,0,1,12,0.3412999794818461,0.0284416649568205,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,21,24,0,1,23,0.6338999955914915,0.0275608693735431,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,22,3,1,1,3,0.1826999941840767,0.0608999980613589,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,23,14,0,1,14,0.6073999975342304,0.0433857141095878,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,24,19,0,1,18,0.5230000242590904,0.0290555569032828,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,25,22,0,1,22,0.6033999961800873,0.0274272725536403,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,26,25,1,1,27,1.5636000025551766,0.0579111112057472,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,27,18,1,1,16,0.4332000098656863,0.0270750006166053,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,28,7,0,1,8,0.9654000168666244,0.120675002108328,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,29,4,0,1,4,0.1310000079683959,0.0327500019920989,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,30,9,0,1,9,0.704299978679046,0.0782555531865606,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,31,7,1,1,8,1.047300000209361,0.1309125000261701,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,32,10,0,1,13,1.6079999913927168,0.1236923070302089,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,33,14,0,1,14,0.4446000093594193,0.0317571435256728,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,34,8,0,1,10,0.5213000113144517,0.0521300011314451,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,35,24,0,1,23,0.5649000231642276,0.0245608705723577,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,36,16,0,1,15,0.3933000261895358,0.026220001745969,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,37,20,1,1,19,0.472299987450242,0.0248578940763285,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,38,7,0,1,8,0.2186000056099146,0.0273250007012393,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,39,6,0,1,8,0.4351000243332237,0.0543875030416529,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,40,23,0,1,23,0.674000009894371,0.029304348256277,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,41,2,0,1,2,0.1090999867301434,0.0545499933650717,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,42,25,1,1,24,2.292899996973574,0.0955374998738989,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,43,20,0,1,18,0.514000013936311,0.028555556329795,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,44,8,0,1,9,0.2554999955464154,0.0283888883940461,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,45,20,0,1,24,0.6104999920353293,0.0254374996681387,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,46,4,0,1,6,1.2923000031150875,0.2153833338525146,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,47,25,1,1,23,1.518500008387491,0.0660217394951083,0,0
5,exp,0.05,0.0001,risk_averse_greedy,42,48,1,0,1,1,0.0743000127840787,0.0743000127840787,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,49,14,0,1,15,0.6919000006746501,0.0461266667116433,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,50,22,0,1,24,1.0614000202622265,0.0442250008442594,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,51,20,0,1,25,1.0689000191632658,0.0427560007665306,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,52,12,0,1,12,0.525400013430044,0.0437833344525036,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,53,21,0,1,23,1.055200002156198,0.0458782609633129,1,0
5,exp,0.05,0.0001,risk_averse_greedy,42,54,18,0,1,20,0.9971999970730394,0.0498599998536519,1,0
